Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProductUnavailablePageValidation_TestSuite,Chrome 83.0.4103.97,,,2020-06-11 16:40:12,2020-06-11 16:41:24,1m - 12.773s,PASSED
,,,,,,,
Test Cases/Smoke_Demo/ProductUnavailablePageValidation,Chrome 83.0.4103.97,,,2020-06-11 16:40:13,2020-06-11 16:41:24,1m - 11.992s,PASSED
url = url,Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.446s,PASSED
applicationName = applicationName,Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.004s,PASSED
deviceType = deviceType,Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.003s,PASSED
isCanonical = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.005s,PASSED
"if (url.contentEquals(""parenting"") || url.contentEquals(""realsimple"") || url.contentEquals(""people""))",Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.003s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:14,0.017s,PASSED
"openBrowser("""")",Chrome 83.0.4103.97,,,2020-06-11 16:40:14,2020-06-11 16:40:23,8.966s,PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 16:40:23,2020-06-11 16:40:25,1.634s,PASSED
"navigateToUrl(url, STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:40:25,2020-06-11 16:41:05,40.059s,PASSED
"if (applicationName.equalsIgnoreCase(""more""))",Chrome 83.0.4103.97,,,2020-06-11 16:41:05,2020-06-11 16:41:05,0.002s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:41:05,2020-06-11 16:41:19,13.908s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:19,2020-06-11 16:41:19,0.579s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterLogo""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:19,2020-06-11 16:41:20,0.719s,PASSED
"verifyElementVisible(findTestObject(applicationName + ""_Objects/"" + applicationName + ""_"" + deviceType + ""/homePageFooterCopyright""), STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:41:20,2020-06-11 16:41:24,3.414s,PASSED
closeBrowser(),Chrome 83.0.4103.97,,,2020-06-11 16:41:24,2020-06-11 16:41:24,0.906s,PASSED
