Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProductUnavailablePageValidation_TestSuite,Chrome 83.0.4103.97,,,2020-06-11 16:35:12,2020-06-11 16:35:50,37.362s,FAILED
,,,,,,,
Test Cases/Smoke_Demo/ProductUnavailablePageValidation,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:50,36.946s,FAILED
url = url,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.246s,PASSED
applicationName = applicationName,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.002s,PASSED
deviceType = deviceType,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.002s,PASSED
isCanonical = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.002s,PASSED
"if (url.contentEquals(""parenting"") || url.contentEquals(""realsimple"") || url.contentEquals(""people""))",Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.007s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:13,0.004s,PASSED
"openBrowser("""")",Chrome 83.0.4103.97,,,2020-06-11 16:35:13,2020-06-11 16:35:18,4.406s,PASSED
maximizeWindow(),Chrome 83.0.4103.97,,,2020-06-11 16:35:18,2020-06-11 16:35:19,1.175s,PASSED
"navigateToUrl(url, STOP_ON_FAILURE)",Chrome 83.0.4103.97,,,2020-06-11 16:35:19,2020-06-11 16:35:44,24.896s,PASSED
"if (applicationName.equalsIgnoreCase(""more""))",Chrome 83.0.4103.97,,,2020-06-11 16:35:44,2020-06-11 16:35:44,0.002s,PASSED
else,Chrome 83.0.4103.97,,,2020-06-11 16:35:44,2020-06-11 16:35:50,5.710s,FAILED
